# Seamount Catalog from Wessel, P., J. Geophys. Res., 106 (B9), 19,431-19,441, 2001"
#
# This file contains ~15,000 seamounts from all the world's ocean basins.
# The columns are:
# Col 1: Longitude (0/360). Center of each seamount (in degrees)
# Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
# Col 3: Maximum amplitude of the Free Air Gravity Anomaly (in mGal)
# Col 4: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
# Col 5: Modelled zero-crossing radius (where VGG first goes -ve) (in km)
# Col 6: Modelled seamount radius (in km)
# Col 7: Modelled seamount height (in m)
# Col 8: Age of underlying seafloor [from Mueller et al grid] (in Myr)
# For explanation of modeling see the JGR paper and references therein.
#
# The file is a GMT multi-segment file where each segment contains the seamount
# belonging to one tectonic plate, sorted from largest to smallest VGG.  Some plates
# (e.g., the Phillipine Sea Plate) have no seamounts detectable by the
# characterization method used.  When plotting this file with GMT, remember
# to use the -M flag.
# 
# Longitude	Latitude	FAA	VGG	Rcross	Radius	Height	CrustAge
> Africa plate    1844 seamounts
  0.91667	 -7.91667	215.0	197.9	26.74	 42.58	4100	 79.2
 55.31670	 -5.85000	187.4	192.0	24.02	 37.74	3800	 82.5
336.86700	 15.76670	241.7	191.5	36.81	 54.86	4800	135.5
354.75000	-11.55000	172.2	190.5	19.22	 27.29	4200	 52.9
357.35000	-12.75000	169.8	188.6	19.43	 28.46	4000	 59.4
  1.28333	-43.01670	231.4	180.4	21.12	 35.49	4200	 69.8
 47.41670	-11.45000	185.5	175.7	24.08	 38.09	3500	162.4
 56.20000	 -7.09167	165.5	174.4	21.95	 33.77	3400	 81.6
353.01700	-15.61670	162.8	174.3	18.06	 25.99	4000	 34.9
  0.41667	 -9.81667	200.0	172.3	24.65	 40.27	3700	 80.8
  8.21667	-23.18330	216.0	171.4	25.02	 41.36	3800	104.8
339.68300	  9.11667	151.2	170.4	18.73	 26.33	3700	103.4
342.68300	 32.81670	222.7	170.2	23.96	 40.50	3900	127.7
340.58300	 25.41670	163.6	170.1	19.34	 29.32	3600	157.5
  8.31667	-31.58330	179.3	168.9	19.05	 30.13	3700	104.9
358.68300	-11.38330	151.3	168.4	19.27	 28.51	3500	 73.1
 51.55000	 -8.78333	186.8	168.2	28.43	 42.29	3700	 65.9
355.48300	-43.45000	227.4	168.2	23.01	 38.73	3900	 44.5
  9.78333	-47.68330	231.4	168.1	20.43	 34.64	4100	 86.2
  1.08333	-41.35000	185.6	166.6	18.05	 27.59	4000	 74.0
  2.38333	-42.95000	189.2	165.4	18.21	 28.66	3900	 74.0
  3.41667	 -3.58333	144.2	164.7	20.13	 30.45	3200	 94.3
  3.18333	 -5.68333	141.7	164.7	19.46	 27.69	3400	 92.5
  0.75000	 -2.95000	140.4	164.5	19.59	 27.88	3300	 74.3
359.40000	-11.11670	165.8	164.2	27.99	 40.01	3500	 75.8
 50.61670	-10.95000	136.7	162.9	18.17	 24.83	3600	 85.7
354.58300	 -9.91667	139.8	162.4	17.48	 23.33	3800	 40.4
 46.98330	 -9.01667	198.1	161.9	32.74	 46.86	4100	147.6
 50.58330	-10.48330	164.5	161.8	22.35	 34.83	3200	 67.4
356.15000	-37.18330	181.9	161.5	19.93	 31.96	3500	 56.4
346.35000	 31.18330	165.1	161.1	17.64	 26.21	3800	163.2
 11.15000	-47.55000	205.8	161.0	18.25	 30.66	3900	 81.3
  2.51667	 -5.25000	131.3	160.5	16.32	 17.63	5900	 88.4
342.65000	 28.21670	238.8	160.3	36.42	 53.72	4700	158.7
 46.51670	 -9.75000	150.4	160.2	18.68	 27.69	3400	151.3
  5.61667	 -1.38333	152.1	159.4	19.48	 28.96	3300	105.3
339.28300	 23.91670	140.2	159.4	17.62	 24.04	3700	153.4
 47.81670	 -7.78333	188.9	159.1	32.81	 46.86	4100	149.0
 47.31670	 -8.68333	237.8	159.0	32.16	 49.15	4300	149.7
359.51700	 -9.51667	140.0	158.7	18.11	 25.83	3400	 78.1
337.81700	 15.81670	138.2	158.0	14.96	 17.63	5900	143.0
343.50000	 32.46670	174.9	157.4	22.16	 35.91	3300	138.5
 54.38330	 -6.15000	139.9	157.3	17.87	 24.90	3500	 67.7
  1.51667	 -8.38333	118.0	157.2	15.88	 17.39	5400	 82.8
346.75000	 32.78330	140.5	156.4	15.74	 17.68	6000	161.7
 47.50000	 -9.73333	166.4	156.3	24.16	 37.72	3300	152.3
348.08300	 35.01670	254.1	156.1	32.57	 51.44	4500	160.7
 47.05000	 -7.85000	206.5	155.8	32.13	 46.86	4100	144.3
  2.21667	-42.18330	175.8	155.8	18.61	 29.57	3500	 76.2
354.30000	-15.95000	180.6	155.3	29.13	 42.29	3700	 39.9
 52.75000	 -7.01667	154.3	155.1	33.47	 43.43	3800	 65.3
344.18300	 28.05000	279.7	154.1	38.80	 58.29	5100	167.9
  6.38333	 -2.01667	129.2	154.0	17.69	 24.19	3400	111.7
 46.93330	 -8.63333	246.7	153.8	31.11	 49.15	4300	145.6
335.35000	 14.95000	206.1	153.8	29.79	 44.58	3900	121.1
345.51700	 34.78330	182.8	153.6	22.37	 35.91	3300	141.1
334.68300	 17.08330	255.3	153.3	29.69	 49.15	4300	117.6
 43.65830	-12.30830	199.8	153.1	37.21	 50.29	4400	145.4
  0.41667	-34.38330	141.0	151.9	14.84	 17.43	6000	 78.3
331.31700	 30.86670	170.7	151.3	20.97	 33.23	3200	 81.6
357.53300	-42.81670	214.2	150.5	26.66	 43.43	3800	 56.8
  7.18333	  1.55000	209.0	150.2	36.14	 50.29	4400	110.1
345.61700	 33.81670	170.5	150.1	20.39	 32.77	3300	150.2
338.01700	 17.25000	127.0	150.1	17.69	 24.25	3300	148.2
  1.75000	 -5.35000	133.4	149.7	24.78	 34.29	3000	 84.3
 56.90830	 -7.29167	168.6	149.6	30.55	 42.29	3700	 83.1
 22.75000	-36.95000	167.2	149.5	17.67	 27.51	3500	 98.8
338.11700	 15.35000	117.0	149.0	16.44	 16.04	6400	145.9
  3.55000	 -4.55000	123.7	148.9	17.88	 24.31	3200	 94.6
  0.48333	-42.78330	121.2	148.9	15.57	 16.61	5800	 69.5
 39.65000	-21.45000	137.1	148.5	19.66	 29.79	3000	147.3
 47.71670	-12.68330	173.0	148.3	29.52	 42.29	3700	166.7
357.43300	-37.30000	220.2	148.2	25.28	 42.29	3700	 62.3
 53.31670	 -5.03333	153.1	147.9	31.91	 42.29	3700	 66.4
359.01700	-34.48330	154.2	147.9	19.38	 29.22	3200	 73.8
346.88300	 30.68330	117.7	147.6	14.25	 17.61	4800	167.6
  1.21667	 -6.53333	161.8	147.2	27.28	 38.86	3400	 81.3
 54.51670	-15.88330	126.3	147.1	17.55	 24.31	3200	 65.1
338.73300	  9.25000	133.7	147.1	27.17	 36.58	3200	101.1
 46.41670	-12.30000	194.1	146.7	34.67	 48.01	4200	157.2
