Table S1. Locations and ages of dated volcanic volcanic edifices along hotspot tracks.
------------------------------------------------------------------------------------------------------------
Location/Sample         Lat     Lon     Age     dAge    Method       Plate           Key Reference
------------------------------------------------------------------------------------------------------------
Hawaiian Track
Kilauea                 19.41   204.74  0.0     0.04    K-Ar         Pacific         Clague and Dalrymple (1987)
Mauna Kea               19.82   204.55  0.38    0.05    K-Ar         Pacific         Clague and Dalrymple (1987)
Kohala                  20.13   204.22  0.43    0.02    K-Ar         Pacific         Clague and Dalrymple (1987)
East Maui               20.75   203.76  0.75    0.04    K-Ar         Pacific         Clague and Dalrymple (1987)
Kahoolawe               20.57   203.43  1.03    0.18    K-Ar         Pacific         Clague and Dalrymple (1987)
West Maui               20.91   203.43  1.32    0.04    K-Ar         Pacific         Clague and Dalrymple (1987)
Lanai                   20.84   203.13  1.28    0.04    K-Ar         Pacific         Clague and Dalrymple (1987)
East Molokai            21.11   203.14  1.76    0.07    K-Ar         Pacific         Clague and Dalrymple (1987)
West Molokai            21.14   202.80  1.9     0.06    K-Ar         Pacific         Clague and Dalrymple (1987)
Koolau                  21.33   202.22  2.6     0.1     K-Ar         Pacific         Clague and Dalrymple (1987)
Waianae                 21.51   201.85  3.7     0.1     K-Ar         Pacific         Clague and Dalrymple (1987)
Kauai                   22.08   200.50  5.1     0.2     K-Ar         Pacific         Clague and Dalrymple (1987)
Niihau                  21.95   199.91  4.9     0.1     K-Ar         Pacific         Clague and Dalrymple (1987)
Nihoa                   23.05   198.08  7.2     0.3     K-Ar         Pacific         Clague and Dalrymple (1987)
Unnamed (Volcano 20)    23.19   196.89  9.6     0.8     K-Ar         Pacific         Clague and Dalrymple (1987)
Necker                  23.58   195.30  10.3    0.4     K-Ar         Pacific         Clague and Dalrymple (1987)
LaPerouse               23.77   193.75  12.0    0.4     K-Ar         Pacific         Clague and Dalrymple (1987)
Brooks Bank             24.00   193.32  13.0    0.6     K-Ar         Pacific         Clague and Dalrymple (1987)
Gardner Pinnacle        25.00   191.94  12.3    1.0     K-Ar         Pacific         Clague and Dalrymple (1987)
Laysan                  25.83   188.17  19.9    0.3     K-Ar         Pacific         Clague and Dalrymple (1987)
Midway                  28.00   182.00  27.7    0.6     K-Ar         Pacific         Clague and Dalrymple (1987)
Unnamed (Volcano 57)    28.95   181.40  31.0    0.2     Ar/Ar        Pacific         Sharp and Clague (2006)
Colahan                 31.04   175.85  38.7    0.2     Ar/Ar        Pacific         Sharp and Clague (2006)
Abbot                   31.75   174.25  41.5    0.3     Ar/Ar        Pacific         Sharp and Clague (2006)
Diakakuji               32.08   172.25  46.7    0.1     Ar/Ar        Pacific         Sharp and Clague (2006)
Kimmei                  33.45   171.35  47.9    0.2     Ar/Ar        Pacific         Sharp and Clague (2006)
Koko (ODP Site 1206)    34.93   172.15  49.2    0.2     Ar/Ar        Pacific         Duncan and Keller (2004)
Koko (south)            35.07   171.95  50.1    0.2     Ar/Ar        Pacific         Sharp and Clague (2006)
Koko (north)            35.77   171.14  52.6    0.8     Ar/Ar        Pacific         Sharp and Clague (2006)
Nintoku                 41.33   170.38  55.5    0.2     Ar/Ar        Pacific         Duncan and Keller (2004)
Suiko                   44.78   170.02  60.9    0.3     Ar/Ar        Pacific         Sharp and Clague (2006)
Detroit (ODP Site 1203) 51.19   167.77  75.8    0.6     Ar/Ar        Pacific         Duncan and Keller (2004)
Detroit (ODP Site 884)  51.45   168.34  81.2    2.6     Ar/Ar        Pacific         Keller et al. (1985)

Louisville Track
MTHN-7D1               -50.43  -139.15  1.11    0.04    Ar/Ar        Pacific         Koppers et al. (2004)
MTHN-6D1               -48.20  -148.80  13.2    0.2     Ar/Ar        Pacific         Koppers et al. (2004)
155.9W/AMAT-32D        -46.23  -155.88  21.3    0.2     Ar/Ar        Pacific         Koppers et al. (2011)
155.9W/AMAT-33D        -46.22  -155.88  21.6    0.2     Ar/Ar        Pacific         Koppers et al. (2011)
157.7W/AMAT-31D        -45.38  -157.73  24.4    0.5     Ar/Ar        Pacific         Koppers et al. (2011)
158.5W/AMAT-30D        -44.84  -158.47  26.2    0.2     Ar/Ar        Pacific         Koppers et al. (2011)
159.8W/AMAT-28D        -44.28  -159.82  25.6    0.2     Ar/Ar        Pacific         Koppers et al. (2011)
160.7W/AMAT-27D        -44.00  -160.62  27.4    1.9     Ar/Ar        Pacific         Koppers et al. (2011)
161.5W/AMAT-26D        -43.58  -161.49  30.7    1.6     Ar/Ar        Pacific         Koppers et al. (2011)
163.6W/AMAT-24D        -41.88  -163.70  34.3    0.6     Ar/Ar        Pacific         Koppers et al. (2011)
VG-3a/MSN110-1         -41.61  -164.20  36.5    0.4     Ar/Ar        Pacific         Koppers et al. (2004)
VM36-02                -40.88  -165.35  33.9    0.3     Ar/Ar        Pacific         Koppers et al. (2004)
165.4W/AMAT-22D        -40.74  -165.46  39.3    1.0     Ar/Ar        Pacific         Koppers et al. (2011)
165.7W/AMAT-20D        -40.45  -165.74  40.0    0.5     Ar/Ar        Pacific         Koppers et al. (2011)
166.1W/AMAT-17D        -39.87  -166.05  41.3    0.3     Ar/Ar        Pacific         Koppers et al. (2011)
166.6W/AMAT-16D        -39.68  -166.64  43.3    0.4     Ar/Ar        Pacific         Koppers et al. (2011)
167.3W/AMAT-15D        -39.52  -167.26  45.1    0.3     Ar/Ar        Pacific         Koppers et al. (2011)
